year,month,tsi
1947,8,1363.8414132426367
1947,9,1363.8603291383204
1947,10,1363.898601146743
1947,11,1363.917975058392
1947,12,1363.8845013464295
1948,1,1363.8511221438757
1948,2,1363.862143912693
1948,3,1363.8576837062863
1948,4,1363.8365835428901
1948,5,1363.840218893383
1948,6,1363.8362873621554
1948,7,1363.8070799051663
1948,8,1363.766334890557
1948,9,1363.7301740694957
1948,10,1363.745412216449
1948,11,1363.7887547585635
1948,12,1363.8124032826229
1949,1,1363.8024227488863
1949,2,1363.7797473658218
1949,3,1363.7677884901047
1949,4,1363.765050189657
1949,5,1363.7441871655976
1949,6,1363.7332033068612
1949,7,1363.7455821254098
1949,8,1363.7536233276944
1949,9,1363.7635329977213
1949,10,1363.7365143163595
1949,11,1363.701660331234
1949,12,1363.6904318738864
1950,1,1363.6832619205709
1950,2,1363.6750904299795
1950,3,1363.6574920843702
1950,4,1363.6258343220943
1950,5,1363.584023863985
1950,6,1363.5366490295316
1950,7,1363.4890286424347
1950,8,1363.46807413245
1950,9,1363.4583020176267
1950,10,1363.438266905978
1950,11,1363.386686131695
1950,12,1363.3211879851895
1951,1,1363.2933112902967
1951,2,1363.292666319867
1951,3,1363.2971482082182
1951,4,1363.2994794325912
1951,5,1363.3081440722415
1951,6,1363.3154649511393
1951,7,1363.3147392535586
1951,8,1363.305272936871
1951,9,1363.2888167814733
1951,10,1363.2811003510074
1951,11,1363.2917707632835
1951,12,1363.3012328436148
1952,1,1363.2784240637313
1952,2,1363.2414623621187
1952,3,1363.213531594556
1952,4,1363.1878989923155
1952,5,1363.1562527345197
1952,6,1363.126366819466
1952,7,1363.1076976124768
1952,8,1363.0940373595602
1952,9,1363.0815466241165
1952,10,1363.0675999079876
1952,11,1363.0527260117512
1952,12,1363.0378377044033
1953,1,1363.0251125341526
1953,2,1363.0108780516257
1953,3,1362.9966737629607
1953,4,1362.9883163802099
1953,5,1362.9862505405144
1953,6,1362.9840367061956
1953,7,1362.973216086572
1953,8,1362.9622027707119
1953,9,1362.9561086900667
1953,10,1362.9535872524768
1953,11,1362.9518594385434
1953,12,1362.9501740121098
1954,1,1362.949578197235
1954,2,1362.9494710480417
1954,3,1362.9489879053892
1954,4,1362.950252311124
1954,5,1362.9524468126922
1954,6,1362.9551525682925
1954,7,1362.9624241234
1954,8,1362.9746286858042
1954,9,1362.9895757361112
1954,10,1363.0047304262991
1954,11,1363.0198311312722
1954,12,1363.0382379126343
1955,1,1363.0638745636202
1955,2,1363.0868710394268
1955,3,1363.1110646323027
1955,4,1363.1413059456092
1955,5,1363.1733111866931
1955,6,1363.220114994982
1955,7,1363.2713659869173
1955,8,1363.2965444063882
1955,9,1363.3311176363427
1955,10,1363.4043351457515
1955,11,1363.4678743245152
1955,12,1363.5152463046672
1956,1,1363.562766279443
1956,2,1363.6034117552497
1956,3,1363.6446200743355
1956,4,1363.6968770708409
1956,5,1363.7288844631796
1956,6,1363.733807831325
1956,7,1363.7659039522925
1956,8,1363.8436106440931
1956,9,1363.909287998528
1956,10,1363.9303479237071
1956,11,1363.947859764209
1956,12,1363.9413717310997
1957,1,1363.91914450713
1957,2,1363.9321148068614
1957,3,1363.9142565013954
1957,4,1363.8474735964671
1957,5,1363.8397184679277
1957,6,1363.842421024872
1957,7,1363.8048273098184
1957,8,1363.7709138715502
1957,9,1363.7059926039808
1957,10,1363.6334381262927
1957,11,1363.6066765881208
1957,12,1363.6393183652265
1958,1,1363.664715825128
1958,2,1363.6581972014721
1958,3,1363.6856013581926
1958,4,1363.745854733999
1958,5,1363.7816491125832
1958,6,1363.8007495556838
1958,7,1363.7739475691242
1958,8,1363.7384578681356
1958,9,1363.7575513203724
1958,10,1363.7851349703276
1958,11,1363.7929875315733
1958,12,1363.7689919414297
1959,1,1363.762832562308
1959,2,1363.748397093222
1959,3,1363.7267870227022
1959,4,1363.7250964024513
1959,5,1363.700697484978
1959,6,1363.6821459640105
1959,7,1363.7232900634729
1959,8,1363.7565591173902
1959,9,1363.7691826981895
1959,10,1363.7827055705013
1959,11,1363.7757040610927
1959,12,1363.7889241822397
1960,1,1363.7980582294617
1960,2,1363.8052759713976
1960,3,1363.8282762508327
1960,4,1363.83321208672
1960,5,1363.8287039267736
1960,6,1363.8382814361823
1960,7,1363.838616476505
1960,8,1363.8175785161936
1960,9,1363.789108043785
1960,10,1363.7573912931582
1960,11,1363.7278119229074
1960,12,1363.684344170712
1961,1,1363.6406071712047
1961,2,1363.621695782764
1961,3,1363.5853826493856
1961,4,1363.5360716544485
1961,5,1363.5008713025666
1961,6,1363.4602007531041
1961,7,1363.4162897302547
1961,8,1363.3782531312725
1961,9,1363.3535089032578
1961,10,1363.339782857783
1961,11,1363.328261626824
1961,12,1363.3215738708652
1962,1,1363.3107198151754
1962,2,1363.2810693662507
1962,3,1363.2493425049604
1962,4,1363.2278848103367
1962,5,1363.2122049421016
1962,6,1363.1986755778994
1962,7,1363.1878820281681
1962,8,1363.1813192086117
1962,9,1363.1674851713135
1962,10,1363.1469499097093
1962,11,1363.1294386749871
1962,12,1363.113538087487
1963,1,1363.1016832096645
1963,2,1363.0977585819762
1963,3,1363.0923963918328
1963,4,1363.0836605309908
1963,5,1363.079397359037
1963,6,1363.0794214155783
1963,7,1363.077875359127
1963,8,1363.075357414655
1963,9,1363.0731087161507
1963,10,1363.0717934338477
1963,11,1363.064953807459
1963,12,1363.0519486185701
1964,1,1363.039575769735
1964,2,1363.0282724458102
1964,3,1363.0249394693317
1964,4,1363.0252497415092
1964,5,1363.0192274484089
1964,6,1363.0146160182117
1964,7,1363.017345371706
1964,8,1363.018159860389
1964,9,1363.0160039781042
1964,10,1363.0149726116617
1964,11,1363.0191956780145
1964,12,1363.0307931471455
1965,1,1363.043183256061
1965,2,1363.0550915168137
1965,3,1363.0646940367062
1965,4,1363.0708551224589
1965,5,1363.074806565156
1965,6,1363.0740542000574
1965,7,1363.0768905347347
1965,8,1363.0886318078244
1965,9,1363.1004931709679
1965,10,1363.1134372580198
1965,11,1363.1365699593189
1965,12,1363.1650505286739
1966,1,1363.196004166577
1966,2,1363.2314603372763
1966,3,1363.2630458645162
1966,4,1363.2933281619178
1966,5,1363.3292636690412
1966,6,1363.370749758154
1966,7,1363.4056277326165
1966,8,1363.4389429846326
1966,9,1363.4780516560038
1966,10,1363.5253618218192
1966,11,1363.5560061099463
1966,12,1363.5612056869625
1967,1,1363.5653563419353
1967,2,1363.5708539360214
1967,3,1363.5957563709678
1967,4,1363.6282923005376
1967,5,1363.6473140328853
1967,6,1363.65636374776
1967,7,1363.66520843862
1967,8,1363.6774226137916
1967,9,1363.6945027056297
1967,10,1363.7017197913374
1967,11,1363.7055764993572
1967,12,1363.7090432587659
1968,1,1363.7097414509701
1968,2,1363.7131423622604
1968,3,1363.70562237718
1968,4,1363.70107308968
1968,5,1363.7045100799576
1968,6,1363.7060113363648
1968,7,1363.709237171042
1968,8,1363.7181113875274
1968,9,1363.7166086429918
1968,10,1363.708831264407
1968,11,1363.712196571307
1968,12,1363.7268125226512
1969,1,1363.7419523557157
1969,2,1363.754492612436
1969,3,1363.7707401791474
1969,4,1363.7748235415577
1969,5,1363.7669628331348
1969,6,1363.7691826045505
1969,7,1363.774532045411
1969,8,1363.7630288385656
1969,9,1363.7617545913981
1969,10,1363.7699877899643
1969,11,1363.7608415611112
1969,12,1363.7615982892025
1970,1,1363.7635921315411
1970,2,1363.7572484178315
1970,3,1363.7462025937277
1970,4,1363.7408427185485
1970,5,1363.7538995253135
1970,6,1363.7669428777779
1970,7,1363.7677363293906
1970,8,1363.7606087403449
1970,9,1363.739636679525
1970,10,1363.7139176735661
1970,11,1363.6996904969085
1970,12,1363.6786850258063
1971,1,1363.6542122079302
1971,2,1363.6246014646506
1971,3,1363.5948665406363
1971,4,1363.5585189835574
1971,5,1363.5134488292565
1971,6,1363.4812954854392
1971,7,1363.4674239397402
1971,8,1363.4685831826143
1971,9,1363.4688019523699
1971,10,1363.4722681232033
1971,11,1363.4780055588215
1971,12,1363.4845766374954
1972,1,1363.5015504325672
1972,2,1363.5269538532661
1972,3,1363.5485226594487
1972,4,1363.5680210301475
1972,5,1363.580324535569
1972,6,1363.57245263642
1972,7,1363.5557189912588
1972,8,1363.5375761986054
1972,9,1363.5163552365975
1972,10,1363.4915679281746
1972,11,1363.4734204893753
1972,12,1363.4541064297425
1973,1,1363.420302915809
1973,2,1363.3821713633895
1973,3,1363.3464683749041
1973,4,1363.3153618891065
1973,5,1363.287616917198
1973,6,1363.2653838229774
1973,7,1363.2440128256655
1973,8,1363.218155297872
1973,9,1363.2007796867447
1973,10,1363.1869020294866
1973,11,1363.1729032902392
1973,12,1363.1660709301584
1974,1,1363.1572365552931
1974,2,1363.1469001198095
1974,3,1363.1363143272467
1974,4,1363.1317910346838
1974,5,1363.1411284879546
1974,6,1363.1444306791284
1974,7,1363.136554845795
1974,8,1363.1288654842838
1974,9,1363.1198318768047
1974,10,1363.1097672841079
1974,11,1363.092524653776
1974,12,1363.0677821526112
1975,1,1363.0543293530593
1975,2,1363.0496787052098
1975,3,1363.0505644263567
1975,4,1363.0477140440091
1975,5,1363.0328505852726
1975,6,1363.0234973509985
1975,7,1363.0195988160524
1975,8,1363.0154824061026
1975,9,1363.01042453782
1975,10,1363.0037854663149
1975,11,1363.0006692133572
1975,12,1363.0021924881783
1976,1,1363.0012302146117
1976,2,1362.9960701151497
1976,3,1362.9842193336979
1976,4,1362.9740752417626
1976,5,1362.9689451831603
1976,6,1362.963358339612
1976,7,1362.9642595869238
1976,8,1362.973031806109
1976,9,1362.9873953115848
1976,10,1363.0033911137352
1976,11,1363.0201523123915
1976,12,1363.036996752714
1977,1,1363.0542308704555
1977,2,1363.074162297875
1977,3,1363.098151379775
1977,4,1363.12183183533
1977,5,1363.147234164497
1977,6,1363.1761716186638
1977,7,1363.2099480192012
1977,8,1363.2445500090248
1977,9,1363.2840316950849
1977,10,1363.3413752210251
1977,11,1363.4004933612134
1977,12,1363.4554034666796
1978,1,1363.5105811702638
1978,2,1363.5602993893497
1978,3,1363.5947153631848
1978,4,1363.6322616864823
1978,5,1363.6801268500578
1978,6,1363.7103576090628
1978,7,1363.7272256238477
1978,8,1363.7603437465918
1978,9,1363.811815233583
1978,10,1363.8452985994434
1978,11,1363.8635194075075
1978,12,1363.8636910989053
1979,1,1363.8535138857335
1979,2,1363.8590047526689
1979,3,1363.8716514244431
1979,4,1363.8777660236367
1979,5,1363.865881351997
1979,6,1363.8808642892282
1979,7,1363.9207092515935
1979,8,1363.9244464487622
1979,9,1363.9085739765758
1979,10,1363.8911814365222
1979,11,1363.8626936155542
1979,12,1363.86694115292
1980,1,1363.8954493502317
1980,2,1363.9117872480813
1980,3,1363.9273670888965
1980,4,1363.9414476286368
1980,5,1363.9509303572656
1980,6,1363.9451457660023
1980,7,1363.947284294228
1980,8,1363.9612118595403
1980,9,1363.9613479382938
1980,10,1363.980340890668
1980,11,1364.0196291790644
1980,12,1364.0377163980158
1981,1,1364.014083469118
1981,2,1363.9842367890103
1981,3,1363.9831689794673
1981,4,1363.979488476376
1981,5,1363.989072105229
1981,6,1364.006154028437
1981,7,1363.9948556265551
1981,8,1363.9672207200172
1981,9,1363.9192912960061
1981,10,1363.86878200761
1981,11,1363.8345970068485
1981,12,1363.788398254698
1982,1,1363.7598803291603
1982,2,1363.7544777323862
1982,3,1363.7392868917052
1982,4,1363.7421122445726
1982,5,1363.7386879307733
1982,6,1363.7236045927802
1982,7,1363.7086518038018
1982,8,1363.7039758809906
1982,9,1363.717001132911
1982,10,1363.7142921497118
1982,11,1363.697228419201
1982,12,1363.7010537984127
1983,1,1363.7212105109575
1983,2,1363.7323198913336
1983,3,1363.7229677174985
1983,4,1363.6889858917814
1983,5,1363.6511496966207
1983,6,1363.6158997864056
1983,7,1363.5647300162443
1983,8,1363.5176246081453
1983,9,1363.505700554885
1983,10,1363.488898917833
1983,11,1363.4580375348132
1983,12,1363.438759271238
1984,1,1363.418466215996
1984,2,1363.3850716192217
1984,3,1363.346969572134
1984,4,1363.3095385801537
1984,5,1363.269934057618
1984,6,1363.2342960041683
1984,7,1363.214095172179
1984,8,1363.1964560547883
