ssn,year,month
135.9,1749,7
137.9,1749,8
140.2,1749,9
143.8,1749,10
146.4,1749,11
147.9,1749,12
148.4,1750,1
150.3,1750,2
153.9,1750,3
154.3,1750,4
147.0,1750,5
139.7,1750,6
138.8,1750,7
136.3,1750,8
131.0,1750,9
125.7,1750,10
121.5,1750,11
116.0,1750,12
111.3,1751,1
106.9,1751,2
99.2,1751,3
91.6,1751,4
86.2,1751,5
81.6,1751,6
77.0,1751,7
75.0,1751,8
77.3,1751,9
79.2,1751,10
79.4,1751,11
78.5,1751,12
78.6,1752,1
77.3,1752,2
75.5,1752,3
77.3,1752,4
79.6,1752,5
79.9,1752,6
80.3,1752,7
79.7,1752,8
76.7,1752,9
73.4,1752,10
70.3,1752,11
68.1,1752,12
63.6,1753,1
60.4,1753,2
61.1,1753,3
59.7,1753,4
57.0,1753,5
53.4,1753,6
48.1,1753,7
43.0,1753,8
37.9,1753,9
33.2,1753,10
30.4,1753,11
29.0,1753,12
28.5,1754,1
26.4,1754,2
23.2,1754,3
21.7,1754,4
21.2,1754,5
20.5,1754,6
21.1,1754,7
22.3,1754,8
23.3,1754,9
23.1,1754,10
21.2,1754,11
17.9,1754,12
15.3,1755,1
14.0,1755,2
14.0,1755,3
14.7,1755,4
14.2,1755,5
14.8,1755,6
16.1,1755,7
16.0,1755,8
15.6,1755,9
15.7,1755,10
16.8,1755,11
18.5,1755,12
19.1,1756,1
19.0,1756,2
18.8,1756,3
17.7,1756,4
17.7,1756,5
17.7,1756,6
17.1,1756,7
18.2,1756,8
20.6,1756,9
23.5,1756,10
26.7,1756,11
28.5,1756,12
29.9,1757,1
34.6,1757,2
39.6,1757,3
42.8,1757,4
47.4,1757,5
52.4,1757,6
55.7,1757,7
59.5,1757,8
63.2,1757,9
67.7,1757,10
71.2,1757,11
74.0,1757,12
77.6,1758,1
78.0,1758,2
78.7,1758,3
80.7,1758,4
79.5,1758,5
78.7,1758,6
80.1,1758,7
80.3,1758,8
79.6,1758,9
77.6,1758,10
76.1,1758,11
76.6,1758,12
77.4,1759,1
80.2,1759,2
83.5,1759,3
86.0,1759,4
87.8,1759,5
89.0,1759,6
91.3,1759,7
93.7,1759,8
96.7,1759,9
99.4,1759,10
101.8,1759,11
103.3,1759,12
104.2,1760,1
105.5,1760,2
104.7,1760,3
103.0,1760,4
103.3,1760,5
104.5,1760,6
105.0,1760,7
107.3,1760,8
109.9,1760,9
111.3,1760,10
114.7,1760,11
120.7,1760,12
126.1,1761,1
129.2,1761,2
133.0,1761,3
138.4,1761,4
143.1,1761,5
144.1,1761,6
141.3,1761,7
138.2,1761,8
134.5,1761,9
131.3,1761,10
125.8,1761,11
119.6,1761,12
113.8,1762,1
108.0,1762,2
104.2,1762,3
100.6,1762,4
98.4,1762,5
99.7,1762,6
102.8,1762,7
100.8,1762,8
97.2,1762,9
94.5,1762,10
92.1,1762,11
88.8,1762,12
87.3,1763,1
85.9,1763,2
83.0,1763,3
81.3,1763,4
78.6,1763,5
76.3,1763,6
75.4,1763,7
77.6,1763,8
79.9,1763,9
80.4,1763,10
81.3,1763,11
81.7,1763,12
79.7,1764,1
78.2,1764,2
75.7,1764,3
71.7,1764,4
68.0,1764,5
63.1,1764,6
58.1,1764,7
53.3,1764,8
49.9,1764,9
48.0,1764,10
45.4,1764,11
43.1,1764,12
42.2,1765,1
41.9,1765,2
41.1,1765,3
39.2,1765,4
37.4,1765,5
35.7,1765,6
34.0,1765,7
32.1,1765,8
31.9,1765,9
31.6,1765,10
30.9,1765,11
30.2,1765,12
