Year,Month,Smoothed_SSN
1749,7,136.0324175824176
1749,8,137.88021978021976
1749,9,140.3073926073926
1749,10,143.04295704295703
1749,11,145.81593406593404
1749,12,148.35534465534465
1750,1,150.39020979020952
1750,2,150.96923076923048
1750,3,150.67482517482486
1750,4,149.35384615384578
1750,5,147.06993006992968
1750,6,144.012587412587
1750,7,140.09720279720239
1750,8,135.35384615384575
1750,9,130.49720279720233
1750,10,125.99230769230724
1750,11,121.640559440559
1750,12,116.58601398601355
1751,1,110.66153846153803
1751,2,104.53636363636319
1751,3,98.23986013985974
1751,4,92.13986013985978
1751,5,86.78251748251716
1751,6,82.62097902097872
1751,7,79.49790209790184
1751,8,77.68741258741235
1751,9,77.20839160839138
1751,10,77.1055944055942
1751,11,77.12727272727255
1751,12,77.48251748251734
1752,1,77.9223776223775
1752,2,78.16013986013972
1752,3,78.30629370629354
1752,4,78.62727272727255
1752,5,79.00419580419563
1752,6,79.09790209790191
1752,7,78.87692307692288
1752,8,78.12657342657323
1752,9,76.28461538461518
1752,10,73.60069930069908
1752,11,70.70909090909068
1752,12,67.96503496503473
1753,1,65.41188811188788
1753,2,63.041258741258495
1753,3,60.779720279720024
1753,4,58.2601398601396
1753,5,55.19440559440535
1753,6,51.55524475524452
1753,7,47.59300699300677
1753,8,43.35314685314665
1753,9,39.058741258741044
1753,10,35.17202797202777
1753,11,31.741958041957854
1753,12,28.93146853146836
1754,1,26.690909090908946
1754,2,24.867832167832045
1754,3,23.4993006993006
1754,4,22.580419580419502
1754,5,22.034265734265666
1754,6,21.855244755244676
1754,7,21.844755244755167
1754,8,21.8818181818181
1754,9,21.63706293706287
1754,10,20.854545454545388
1754,11,19.803496503496437
1754,12,18.490209790209725
1755,1,16.925874125874067
1755,2,15.552447552447493
1755,3,14.610489510489455
1755,4,14.194405594405545
1755,5,14.232167832167793
1755,6,14.562237762237737
1755,7,15.053846153846136
1755,8,15.616083916083904
1755,9,16.177622377622363
1755,10,16.822377622377605
1755,11,17.43146853146851
1755,12,17.8251748251748
1756,1,18.139860139860108
1756,2,18.3300699300699
1756,3,18.249650349650324
1756,4,17.95454545454544
1756,5,17.622377622377613
1756,6,17.67482517482517
1756,7,18.343356643356643
1756,8,19.311888111888123
1756,9,20.704895104895133
1756,10,22.801398601398642
1756,11,25.27972027972033
1756,12,28.196503496503563
1757,1,31.651748251748323
1757,2,35.274825174825246
1757,3,39.05664335664343
1757,4,42.960839160839235
1757,5,47.116783216783276
1757,6,51.54335664335671
1757,7,55.82797202797208
1757,8,59.95384615384619
1757,9,63.94265734265736
1757,10,67.61888111888113
1757,11,70.98811188811187
1757,12,73.92307692307689
1758,1,76.22937062937058
1758,2,77.90839160839153
1758,3,79.0874125874125
1758,4,79.85034965034951
1758,5,80.2461538461537
1758,6,80.10839160839144
1758,7,79.5846153846152
1758,8,78.93496503496488
1758,9,78.12937062937048
1758,10,77.5391608391607
1758,11,77.6251748251747
1758,12,78.14265734265722
1759,1,78.94125874125862
1759,2,80.34265734265725
1759,3,82.25454545454535
1759,4,84.61048951048943
1759,5,87.12027972027963
1759,6,89.63496503496496
1759,7,92.15594405594398
1759,8,94.44405594405583
1759,9,96.79440559440549
1759,10,99.19930069930057
1759,11,101.24335664335652
1759,12,102.7524475524474
1760,1,103.71888111888096
1760,2,104.11958041958026
1760,3,104.14265734265717
1760,4,104.20909090909073
1760,5,104.31048951048933
1760,6,104.53706293706279
1760,7,105.28321678321664
1760,8,106.9335664335663
1760,9,109.51538461538452
1760,10,112.63216783216774
1760,11,116.13356643356634
1760,12,120.35174825174816
1761,1,125.27762237762225
1761,2,130.15664335664323
1761,3,134.63636363636348
1761,4,138.22097902097883
1761,5,140.5321678321676
1761,6,141.3839160839158
1761,7,140.85874125874093
1761,8,138.970629370629
1761,9,135.3965034965031
1761,10,130.5244755244751
1761,11,124.98671328671286
1761,12,119.24685314685276
1762,1,113.69790209790173
1762,2,109.0447552447549
1762,3,105.49020979020946
1762,4,102.828671328671
1762,5,101.09860139860109
1762,6,100.02237762237733
1762,7,99.06153846153819
1762,8,98.02727272727245
1762,9,96.7706293706291
1762,10,95.09370629370603
1762,11,92.92727272727248
1762,12,90.21048951048925
1763,1,87.32307692307664
1763,2,84.70489510489485
1763,3,82.32657342657318
1763,4,80.37762237762216
1763,5,78.93146853146833
1763,6,78.09790209790192
1763,7,77.8741258741257
1763,8,78.16923076923061
1763,9,78.93146853146837
1763,10,79.81258741258722
1763,11,80.52167832167814
1763,12,80.67832167832148
1764,1,79.88321678321655
1764,2,77.94685314685292
1764,3,75.07272727272701
1764,4,71.44055944055918
1764,5,67.28461538461512
1764,6,62.947552447552184
1764,7,58.64475524475499
1764,8,54.43426573426549
1764,9,50.75804195804172
1764,10,47.84265734265714
1764,11,45.53916083916065
1764,12,43.84265734265717
1765,1,42.51258741258725
1765,2,41.35454545454531
1765,3,40.00769230769217
1765,4,38.559440559440425
1765,5,37.21188811188799
1765,6,35.850349650349536
1765,7,34.59930069930058
1765,8,33.495804195804084
1765,9,32.44265734265721
1765,10,31.294405594405468
1765,11,29.93076923076911
1765,12,28.28881118881107
1766,1,26.35244755244744
1766,2,24.252447552447464
1766,3,22.23356643356635
1766,4,20.619580419580352
1766,5,19.698601398601348
1766,6,19.576923076923045
1766,7,20.315384615384602
1766,8,21.71118881118882
1766,9,23.512587412587447
1766,10,25.730769230769276
1766,11,28.367832167832237
1766,12,31.425874125874202
1767,1,35.043356643356724
1767,2,39.20629370629379
1767,3,44.02937062937072
1767,4,49.30629370629378
1767,5,54.47272727272733
1767,6,59.15664335664342
1767,7,63.50069930069936
1767,8,67.65944055944061
1767,9,71.57692307692311
1767,10,75.32937062937066
1767,11,79.02027972027973
1767,12,82.75874125874127
1768,1,86.93706293706295
1768,2,91.82167832167832
1768,3,97.18671328671327
